"","year","month","median.monthly.flow","max.monthly.flow","date.of.monthly.max.flow","monthly.fall.rate","monthly.rise.rate","monthly.reversals","monthly.inflows","inflows.upperquartile","inflows.lowerquartile","date","minDO.oakcity","minDO.jamesville","days.over.10k","days.over.15k","days.over.20k","days.over.30k"
"1","1972",3,8200,14200,63,3590,2430,15,7754.32258064516,0,0,1972-03-01,NA,NA,13,0,0,0
"2","1972",4,8405,17600,101,2590,3770,17,10095.0666666667,0,0,1972-04-01,NA,NA,13,1,0,0
"3","1972",5,19400,19600,138,410,1800,11,15429.2580645161,1,0,1972-05-01,NA,NA,28,22,0,0
"4","1972",6,9050,23700,182,1395,1850,13,21836.3333333333,1,0,1972-06-01,NA,NA,14,10,5,0
"5","1972",7,19700,23500,183,400,100,12,9185,1,0,1972-07-01,NA,NA,31,31,14,0
"6","1972",8,8640,18000,215,2890,1790,13,4074.8064516129,0,0,1972-08-01,NA,NA,13,8,0,0
"7","1972",9,2545,13000,258,1370,465,12,3635.96666666667,0,0,1972-09-01,NA,NA,3,0,0,0
"8","1972",10,10800,19900,298,600,2010,13,10569.8387096774,1,0,1972-10-01,NA,NA,22,14,0,0
"9","1972",11,19800,20000,316,2440,200,11,16667.4333333333,1,0,1972-11-01,NA,NA,20,10,0,0
"10","1973",3,14500,19700,83,1300,1300,14,18096.064516129,1,0,1973-03-01,NA,NA,25,14,0,0
"11","1973",4,19500,19600,103,100,100,8,19434.0666666667,1,0,1973-04-01,NA,NA,30,30,0,0
"12","1973",5,14500,19800,129,1500,600,13,10871.9677419355,1,0,1973-05-01,NA,NA,22,14,0,0
"13","1973",6,9425,13200,164,2560,1615,11,7693.4,1,0,1973-06-01,NA,NA,13,0,0,0
"14","1973",7,8160,16000,191,2185,1270,14,4981.12903225806,1,0,1973-07-01,NA,NA,8,1,0,0
"15","1973",8,8540,17800,242,700,2630,15,6912.93548387097,1,0,1973-08-01,NA,NA,10,3,0,0
"16","1973",9,2210,13900,269,250,1890,12,2963.13333333333,0,0,1973-09-01,NA,NA,4,0,0,0
"17","1973",10,13500,19600,281,3350,2300,9,3156.22580645161,0,0,1973-10-01,NA,NA,1,0,0,0
"18","1973",11,14200,19600,335,3300,1540,10,3210.6,0,0,1973-11-01,NA,NA,2,0,0,0
"19","1974",3,6300,14000,85,4399,2900,16,8903.77419354839,0,0,1974-03-01,NA,NA,9,0,0,0
"20","1974",4,14550,17700,108,1295,1590,11,12022.2666666667,0,0,1974-04-01,NA,NA,22,10,0,0
"21","1974",5,10500,15700,129,3585,2380,10,8066.29032258064,0,0,1974-05-01,NA,NA,17,2,0,0
"22","1974",6,5840,14700,162,1090,270,15,5220.23333333333,0,0,1974-06-01,NA,NA,10,0,0,0
"23","1974",7,2310,19400,190,300,190,12,3918,0,0,1974-07-01,NA,NA,9,4,0,0
"24","1974",8,4300,13600,234,2240,1990,11,5113.64516129032,1,0,1974-08-01,NA,NA,6,0,0,0
"25","1974",9,14050,19400,259,1850,300,7,12933.3333333333,1,0,1974-09-01,NA,NA,19,12,0,0
"26","1974",10,2080,10600,278,140,100,17,2694.41935483871,0,0,1974-10-01,NA,NA,6,0,0,0
"27","1974",11,3365,11100,315,2572,2440,17,2757.56666666667,0,0,1974-11-01,NA,NA,14,5,0,0
"28","1975",3,18800,35300,91,1410,1550,11,35219.1935483871,1,0,1975-03-01,NA,NA,23,17,12,6
"29","1975",4,35100,35600,105,200,200,16,12277.1666666667,0,0,1975-04-01,NA,NA,28,25,25,24
"30","1975",5,6550,15700,122,600,800,12,7526.32258064516,0,0,1975-05-01,NA,NA,11,2,0,0
"31","1975",6,8155,18900,156,2830,4450,10,6560.93333333333,0,0,1975-06-01,NA,NA,13,4,0,0
"32","1975",7,18500,19400,197,100,100,9,13992.6774193548,1,0,1975-07-01,NA,NA,19,17,0,0
"33","1975",8,11600,18700,220,820,200,14,3883.87096774194,0,0,1975-08-01,NA,NA,18,8,0,0
"34","1975",9,3850,19200,271,210,300,10,9919.7,1,0,1975-09-01,NA,NA,8,4,0,0
"35","1975",10,1950,14000,277,610,60,13,5841.51612903226,0,0,1975-10-01,NA,NA,14,3,0,0
"36","1975",11,8890,19300,332,1180,2900,12,4845.53333333333,0,0,1975-11-01,NA,NA,4,0,0,0
"37","1976",3,3300,12800,72,1390,4660,17,5959.87096774194,0,1,1976-03-01,NA,NA,3,0,0,0
"38","1976",4,3960,9730,114,950,1380,13,6002.36666666667,0,1,1976-04-01,NA,NA,0,0,0,0
"39","1976",5,6280,9020,126,40,70,14,4218.09677419355,0,1,1976-05-01,NA,NA,0,0,0,0
"40","1976",6,5540,8950,161,1620,1450,17,6380.26666666667,0,0,1976-06-01,NA,NA,0,0,0,0
"41","1976",7,2970,9720,194,1210,1235,15,2455.35483870968,0,0,1976-07-01,NA,NA,0,0,0,0
"42","1976",8,2430,7990,235,70,40,20,1870.90322580645,0,1,1976-08-01,NA,NA,0,0,0,0
"43","1976",9,2450,12700,260,660,120,8,1842.66666666667,0,0,1976-09-01,NA,NA,1,0,0,0
"44","1976",10,9080,19300,276,3085,1510,12,10574.2903225806,1,0,1976-10-01,NA,NA,11,5,0,0
"45","1976",11,8090,13400,333,1350,1490,16,4306.33333333333,0,0,1976-11-01,NA,NA,17,6,0,0
"46","1977",3,3500,11500,83,1940,3080,20,8157.12903225806,0,0,1977-03-01,NA,NA,2,0,0,0
"47","1977",4,6560,18700,99,1490,2840,11,8890.5,0,0,1977-04-01,NA,NA,10,2,0,0
"48","1977",5,6240,14400,124,60,45,14,3372.09677419355,0,1,1977-05-01,NA,NA,5,0,0,0
"49","1977",6,2320,3070,177,30,40,18,2640.26666666667,0,1,1977-06-01,NA,NA,0,0,0,0
"50","1977",7,2450,9900,194,420,1165,18,1493.45161290323,0,1,1977-07-01,NA,NA,0,0,0,0
"51","1977",8,2340,5610,244,35,40,18,1455.16129032258,0,1,1977-08-01,NA,NA,0,0,0,0
"52","1977",9,2345,7950,263,350,90,13,2162.33333333333,0,0,1977-09-01,NA,NA,0,0,0,0
"53","1977",10,5840,18700,302,1180,1300,9,4932.93548387097,0,0,1977-10-01,NA,NA,1,0,0,0
"54","1977",11,11250,18900,314,1650,3700,10,6268.36666666667,0,0,1977-11-01,NA,NA,13,1,0,0
"55","1978",3,18500,18700,66,100,500,16,19588.7096774194,1,0,1978-03-01,NA,NA,30,23,0,0
"56","1978",4,9580,26100,121,840,2100,13,21917.1,1,0,1978-04-01,NA,NA,14,12,2,0
"57","1978",5,34600,35300,122,300,100,16,22041.5161290323,1,0,1978-05-01,NA,NA,31,31,29,23
"58","1978",6,18550,18700,153,1850,2800,10,5757.93333333333,0,0,1978-06-01,NA,NA,25,17,0,0
"59","1978",7,8250,12800,206,830,1610,21,6123.74193548387,1,0,1978-07-01,NA,NA,10,0,0,0
"60","1978",8,6680,10200,227,1410,1585,17,5869.1935483871,1,0,1978-08-01,NA,NA,1,0,0,0
"61","1978",9,2605,9650,263,1180,1325,12,3918.16666666667,0,0,1978-09-01,NA,NA,0,0,0,0
"62","1978",10,1950,10200,298,180,780,13,2416.67741935484,0,0,1978-10-01,NA,NA,0,0,0,0
"63","1978",11,9180,16400,317,2400,2300,14,3259.83333333333,0,0,1978-11-01,NA,NA,0,0,0,0
"64","1979",3,25500,25800,71,300,100,13,20081.064516129,1,0,1979-03-01,NA,NA,31,31,24,0
"65","1979",4,18700,18900,95,100,100,10,12336.9,0,0,1979-04-01,NA,NA,29,28,0,0
"66","1979",5,10600,18600,125,2100,1100,13,7866.38709677419,0,0,1979-05-01,NA,NA,16,5,0,0
"67","1979",6,7900,14600,158,1305,2020,18,7143.1,1,0,1979-06-01,NA,NA,9,0,0,0
"68","1979",7,4650,10900,194,1510,2170,14,4184.70967741936,0,0,1979-07-01,NA,NA,1,0,0,0
"69","1979",8,3730,12300,214,1790,2265,16,3458.09677419355,0,0,1979-08-01,NA,NA,3,0,0,0
"70","1979",9,13500,19400,268,670,2770,6,21636.9,1,0,1979-09-01,NA,NA,17,8,0,0
"71","1979",10,2170,7960,301,1170,875,17,14127,1,0,1979-10-01,NA,NA,29,28,12,0
"72","1979",11,4475,9000,332,1220,1120,19,11116.9,1,0,1979-11-01,NA,NA,29,19,0,0
"73","1980",3,10300,18100,91,1700,1710,10,16005,1,0,1980-03-01,NA,NA,16,8,0,0
"74","1980",4,18050,18400,120,250,100,10,17417.0333333333,1,0,1980-04-01,NA,NA,29,25,0,0
"75","1980",5,10200,18100,122,2690,950,10,8365.1935483871,0,0,1980-05-01,NA,NA,17,3,0,0
"76","1980",6,6210,14000,154,1855,2495,15,4937,0,0,1980-06-01,NA,NA,6,0,0,0
"77","1980",7,4490,10700,199,850,1600,16,4170.77419354839,0,0,1980-07-01,NA,NA,1,0,0,0
"78","1980",8,2430,12300,218,1300,725,13,2137.77419354839,0,0,1980-08-01,NA,NA,2,0,0,0
"79","1980",9,2370,5740,266,110,80,11,1802.96666666667,0,1,1980-09-01,NA,NA,0,0,0,0
"80","1980",10,19700,25200,289,200,200,8,2697.38709677419,0,0,1980-10-01,NA,NA,0,0,0,0
"81","1980",11,17750,19900,310,700,1800,10,3165,0,0,1980-11-01,NA,NA,0,0,0,0
"82","1981",3,1980,4960,77,455,1065,14,3112.48387096774,0,1,1981-03-01,NA,NA,0,0,0,0
"83","1981",4,2280,9880,104,30,95,19,3929.13333333333,0,1,1981-04-01,NA,NA,0,0,0,0
"84","1981",5,3100,8980,133,405,330,13,3045.12903225806,0,1,1981-05-01,NA,NA,0,0,0,0
"85","1981",6,2865,10600,166,1130,820,17,2564.53333333333,0,1,1981-06-01,NA,NA,2,0,0,0
"86","1981",7,2640,9360,191,565,610,12,2847.03225806452,0,0,1981-07-01,NA,NA,0,0,0,0
"87","1981",8,2370,7210,240,70,70,16,1391.67741935484,0,1,1981-08-01,NA,NA,0,0,0,0
"88","1981",9,2405,5750,255,590,150,10,2522.36666666667,0,0,1981-09-01,NA,NA,0,0,0,0
"89","1981",10,2030,5750,289,335,370,15,3118.58064516129,0,0,1981-10-01,NA,NA,0,0,0,0
"90","1981",11,2105,8980,333,650,1345,14,1885.3,0,1,1981-11-01,NA,NA,0,0,0,0
"91","1982",3,9310,17500,72,2140,1695,14,10359.935483871,0,0,1982-03-01,NA,NA,15,7,0,0
"92","1982",4,2335,12600,98,385,600,10,4858.96666666667,0,1,1982-04-01,NA,NA,2,0,0,0
"93","1982",5,6290,11600,128,420,590,20,5923.96774193548,0,0,1982-05-01,NA,NA,4,0,0,0
"94","1982",6,17750,18200,165,700,600,9,13051.6,1,0,1982-06-01,NA,NA,26,17,0,0
"95","1982",7,5140,15100,198,2085,2120,19,5207.12903225806,1,0,1982-07-01,NA,NA,5,1,0,0
"96","1982",8,3270,11300,232,940,2610,16,3966.16129032258,0,0,1982-08-01,NA,NA,3,0,0,0
"97","1982",9,2495,8090,257,340,200,14,1830.03333333333,0,1,1982-09-01,NA,NA,0,0,0,0
"98","1982",10,1820,4540,303,390,460,18,3959.06451612903,0,0,1982-10-01,NA,NA,0,0,0,0
"99","1982",11,1685,9210,314,1020,990,18,3888.06666666667,0,0,1982-11-01,NA,NA,3,0,0,0
"100","1983",3,18000,20400,84,2300,1400,9,18461.2580645161,1,0,1983-03-01,NA,NA,30,25,8,0
"101","1983",4,21400,26000,116,100,200,13,28456.4666666667,1,0,1983-04-01,NA,NA,30,30,30,0
"102","1983",5,19000,25800,126,1200,150,6,7777.96774193548,0,0,1983-05-01,NA,NA,28,26,6,0
"103","1983",6,6135,15100,154,1910,1280,16,4775.2,0,0,1983-06-01,NA,NA,9,1,0,0
"104","1983",7,4180,10200,194,1360,1605,14,2641.32258064516,0,0,1983-07-01,NA,NA,2,0,0,0
"105","1983",8,2890,7310,221,1080,2390,21,1643.35483870968,0,1,1983-08-01,NA,NA,0,0,0,0
"106","1983",9,2125,3100,256,155,50,14,1687.93333333333,0,1,1983-09-01,NA,NA,0,0,0,0
"107","1983",10,2850,7420,288,920,1485,18,3147.74193548387,0,0,1983-10-01,NA,NA,0,0,0,0
"108","1983",11,7170,11700,322,1700,2995,11,6404.06666666667,0,0,1983-11-01,NA,NA,2,1,0,0
"109","1984",3,20000,20100,66,100,100,8,21845.2903225806,1,0,1984-03-01,NA,NA,31,31,9,0
"110","1984",4,20100,20300,105,100,100,14,17014.1,1,0,1984-04-01,NA,NA,30,30,23,0
"111","1984",5,14500,20200,126,700,1200,7,9928.61290322581,1,0,1984-05-01,NA,NA,21,15,6,0
"112","1984",6,7060,15200,159,1140,1600,13,4559.03333333333,0,0,1984-06-01,NA,NA,9,1,0,0
"113","1984",7,6360,17900,213,3485,4160,16,8542.96774193548,1,0,1984-07-01,NA,NA,9,3,0,0
"114","1984",8,8690,17900,214,2800,2970,14,5964.87096774194,1,0,1984-08-01,NA,NA,12,2,0,0
"115","1984",9,4220,12400,255,1535,1360,12,2763.36666666667,0,0,1984-09-01,NA,NA,1,0,0,0
"116","1984",10,2280,5580,301,265,620,13,3198.32258064516,0,0,1984-10-01,NA,NA,1,0,0,0
"117","1984",11,2305,17200,335,750,2455,16,3122.86666666667,0,0,1984-11-01,NA,NA,2,0,0,0
"118","1985",3,4020,14300,66,2000,1470,16,4610.03225806452,0,1,1985-03-01,NA,NA,3,0,0,0
"119","1985",4,2540,3620,101,30,55,17,3229.5,0,1,1985-04-01,NA,NA,0,0,0,0
"120","1985",5,4880,8110,149,110,190,14,4435.67741935484,0,1,1985-05-01,NA,NA,0,0,0,0
"121","1985",6,2445,8620,162,440,230,14,2322.2,0,1,1985-06-01,NA,NA,0,0,0,0
"122","1985",7,2280,7430,197,275,900,15,2587.41935483871,0,0,1985-07-01,NA,NA,0,0,0,0
"123","1985",8,6190,19100,242,750,1160,10,11918.4193548387,1,0,1985-08-01,NA,NA,12,11,0,0
"124","1985",9,2480,7480,254,255,450,13,2453.2,0,0,1985-09-01,NA,NA,5,4,0,0
"125","1985",10,1800,11500,304,260,320,14,2735.25806451613,0,0,1985-10-01,NA,NA,0,0,0,0
"126","1985",11,3430,10900,320,1700,1780,14,21910.3,1,0,1985-11-01,NA,NA,26,25,12,0
"127","1986",3,4910,15800,72,2455,2875,16,7421.1935483871,0,0,1986-03-01,NA,NA,3,1,0,0
"128","1986",4,3210,10900,108,845,1165,13,3498.36666666667,0,1,1986-04-01,NA,NA,2,0,0,0
"129","1986",5,5990,6510,142,45,65,18,3258.09677419355,0,1,1986-05-01,NA,NA,0,0,0,0
"130","1986",6,2470,5590,168,260,270,18,1580,0,1,1986-06-01,NA,NA,0,0,0,0
"131","1986",7,2660,6160,200,115,160,16,1448.96774193548,0,1,1986-07-01,NA,NA,0,0,0,0
"132","1986",8,2380,6220,240,165,210,18,3327.67741935484,0,0,1986-08-01,NA,NA,0,0,0,0
"133","1986",9,2590,11700,270,480,760,12,2016,0,0,1986-09-01,NA,NA,1,0,0,0
"134","1986",10,2340,9120,285,615,1050,13,1787.16129032258,0,1,1986-10-01,NA,NA,0,0,0,0
"135","1986",11,20000,20700,326,180,600,14,3129.33333333333,0,0,1986-11-01,NA,NA,0,0,0,0
"136","1987",3,20400,25600,70,450,400,14,21631.1935483871,1,0,1987-03-01,NA,NA,31,29,19,0
"137","1987",4,19900,35600,115,1200,1000,11,37563.6,1,0,1987-04-01,NA,NA,24,21,14,10
"138","1987",5,29800,35300,125,400,100,13,8824.77419354839,0,0,1987-05-01,NA,NA,31,30,28,15
"139","1987",6,8465,18700,155,2790,2540,19,4574.1,0,0,1987-06-01,NA,NA,9,3,0,0
"140","1987",7,2640,14600,203,690,290,10,4184.29032258064,0,0,1987-07-01,NA,NA,4,0,0,0
"141","1987",8,2520,8430,219,810,180,12,1980.03225806452,0,0,1987-08-01,NA,NA,0,0,0,0
"142","1987",9,19950,20300,261,200,300,7,15970.7666666667,1,0,1987-09-01,NA,NA,17,15,9,0
"143","1987",10,2040,6970,278,120,105,13,2501.32258064516,0,0,1987-10-01,NA,NA,5,0,0,0
"144","1987",11,1025,7730,325,108,261.5,15,4561.8,0,0,1987-11-01,NA,NA,2,0,0,0
"145","1988",3,1140,12300,70,188,195,14,4519.77419354839,0,1,1988-03-01,NA,NA,1,0,0,0
"146","1988",4,6040,9950,104,535,140,11,6884.63333333333,0,0,1988-04-01,NA,NA,0,0,0,0
"147","1988",5,6840,10200,152,150,790,15,4518.25806451613,0,0,1988-05-01,NA,NA,1,0,0,0
"148","1988",6,2705,14800,174,1080,1170,14,2483.13333333333,0,1,1988-06-01,NA,NA,3,0,0,0
"149","1988",7,2170,8090,199,40,60,18,3169.61290322581,0,0,1988-07-01,NA,NA,0,0,0,0
"150","1988",8,2310,7220,222,230,820,15,1952.48387096774,0,1,1988-08-01,NA,NA,0,0,0,0
"151","1988",9,2590,9700,258,1060,605,10,2301.16666666667,0,0,1988-09-01,NA,NA,0,0,0,0
"152","1988",10,3650,12400,289,1550,1490,17,2533.03225806452,0,0,1988-10-01,NA,NA,0,0,0,0
"153","1988",11,3665,12200,331,1420,2530,13,4766.56666666667,0,0,1988-11-01,NA,NA,1,0,0,0
"154","1989",3,16400,20800,84,2600,2720,12,15048.2580645161,0,0,1989-03-01,NA,NA,28,16,8,0
"155","1989",4,9495,20600,104,1310,620,11,9841.9,0,0,1989-04-01,NA,NA,12,5,4,0
"156","1989",5,20000,20800,132,200,100,9,16270.3870967742,1,0,1989-05-01,NA,NA,28,27,15,0
"157","1989",6,14800,18600,173,470,1640,8,11600.7333333333,1,0,1989-06-01,NA,NA,18,7,0,0
"158","1989",7,15000,19400,201,2600,1300,9,10079.5483870968,1,0,1989-07-01,NA,NA,22,14,0,0
"159","1989",8,6390,15600,215,1960,2505,16,6826.64516129032,1,0,1989-08-01,NA,NA,7,6,0,0
"160","1989",9,8315,20300,273,3235,2120,9,9940.56666666667,1,0,1989-09-01,NA,NA,10,9,4,0
"161","1989",10,1980,4810,288,235,850,15,13552.9032258065,1,0,1989-10-01,NA,NA,27,23,8,0
"162","1989",11,4975,12200,324,2370,2470,14,7389.56666666667,1,0,1989-11-01,NA,NA,9,1,0,0
"163","1990",3,11000,19900,82,2900,1720,10,11835.4193548387,0,0,1990-03-01,NA,NA,16,14,0,0
"164","1990",4,15450,20500,110,100,200,11,12953.3333333333,0,0,1990-04-01,NA,NA,18,15,11,0
"165","1990",5,9990,19900,150,400,670,14,14199.6129032258,1,0,1990-05-01,NA,NA,15,9,0,0
"166","1990",6,18950,19500,161,535,500,10,6564.9,0,0,1990-06-01,NA,NA,21,17,0,0
"167","1990",7,4170,15300,199,1960,1280,12,5554.25806451613,1,0,1990-07-01,NA,NA,6,5,0,0
"168","1990",8,3090,15300,241,595,1445,12,3880.70967741935,0,0,1990-08-01,NA,NA,1,1,0,0
"169","1990",9,2115,4950,272,100,130,13,2195.23333333333,0,0,1990-09-01,NA,NA,0,0,0,0
"170","1990",10,18800,20600,282,950,300,16,16270.1612903226,1,0,1990-10-01,NA,NA,19,8,5,0
"171","1990",11,8180,15900,328,2585,2210,10,4780.76666666667,0,0,1990-11-01,NA,NA,14,10,5,0
"172","1991",3,14800,20100,91,4950,2640,11,19046,1,0,1991-03-01,NA,NA,22,2,1,0
"173","1991",4,19950,20300,92,200,250,11,13307.4333333333,1,0,1991-04-01,NA,NA,26,20,12,0
"174","1991",5,9300,9530,130,20,45,14,7734.16129032258,0,0,1991-05-01,NA,NA,0,0,0,0
"175","1991",6,7260,14300,181,440,965,12,4095.66666666667,0,0,1991-06-01,NA,NA,2,0,0,0
"176","1991",7,2740,8740,213,960,2260,15,3718,0,0,1991-07-01,NA,NA,0,0,0,0
"177","1991",8,2990,8910,241,1040,1550,14,2710.16129032258,0,0,1991-08-01,NA,NA,0,0,0,0
"178","1991",9,2045,6260,261,550,20,8,2263,0,0,1991-09-01,NA,NA,0,0,0,0
"179","1991",10,14100,20500,301,100,175,10,1989.58064516129,0,1,1991-10-01,NA,NA,0,0,0,0
"180","1991",11,9305,20300,309,1375,1695,16,2331.7,0,1,1991-11-01,NA,NA,1,0,0,0
"181","1992",3,6940,20400,71,2180,2130,18,8023.58064516129,0,0,1992-03-01,NA,NA,12,1,1,0
"182","1992",4,6930,20500,116,100,120,10,12437,0,0,1992-04-01,NA,NA,9,8,8,0
"183","1992",5,9270,20500,123,145,75,13,6682.64516129032,0,0,1992-05-01,NA,NA,5,4,4,0
"184","1992",6,8875,19900,163,685,2350,12,8743.1,1,0,1992-06-01,NA,NA,12,7,0,0
"185","1992",7,3980,11200,196,3620,1130,16,3492.25806451613,0,0,1992-07-01,NA,NA,3,0,0,0
"186","1992",8,2650,13900,232,595,680,15,3892.58064516129,0,0,1992-08-01,NA,NA,5,0,0,0
"187","1992",9,2635,6360,254,770,710,7,3229.53333333333,0,0,1992-09-01,NA,NA,0,0,0,0
"188","1992",10,2190,7350,291,400,530,17,2944.93548387097,0,0,1992-10-01,NA,NA,1,0,0,0
"189","1992",11,2615,11500,331,1820,760,13,8295.36666666667,1,0,1992-11-01,NA,NA,1,0,0,0
"190","1993",3,20100,35400,91,100,600,9,36727.2258064516,1,0,1993-03-01,NA,NA,31,31,22,2
"191","1993",4,35100,35300,98,150,100,12,20391.7333333333,1,0,1993-04-01,NA,NA,30,30,30,23
"192","1993",5,9270,20200,126,130,100,14,7911.90322580645,0,0,1993-05-01,NA,NA,11,10,6,0
"193","1993",6,8840,12300,169,90,600,13,4711.1,0,0,1993-06-01,NA,NA,4,0,0,0
"194","1993",7,3960,12200,189,1800,1145,14,3908.54838709677,0,0,1993-07-01,NA,NA,3,0,0,0
"195","1993",8,2180,5910,244,120,170,12,2235.8064516129,0,0,1993-08-01,NA,NA,0,0,0,0
"196","1993",9,2140,3360,274,90,90,9,2395.9,0,0,1993-09-01,NA,NA,0,0,0,0
"197","1993",10,2910,10400,289,1260,2050,15,2137.96774193548,0,1,1993-10-01,NA,NA,0,0,0,0
"198","1993",11,9055,10200,321,200,960,15,5344.93333333333,0,0,1993-11-01,NA,NA,3,0,0,0
"199","1994",3,20100,20300,84,100,100,14,26869.7419354839,1,0,1994-03-01,NA,NA,31,31,17,0
"200","1994",4,20200,25300,99,400,100,13,10827.1,0,0,1994-04-01,NA,NA,25,25,21,0
"201","1994",5,6070,11300,125,40,35,14,5161.58064516129,0,0,1994-05-01,NA,NA,1,0,0,0
"202","1994",6,5320,5490,153,25,20,19,3378.06666666667,0,0,1994-06-01,NA,NA,0,0,0,0
"203","1994",7,4000,11700,189,195,1010,13,5921.83870967742,1,0,1994-07-01,NA,NA,1,0,0,0
"204","1994",8,8490,13600,231,1400,1870,16,5453.58064516129,1,0,1994-08-01,NA,NA,10,0,0,0
"205","1994",9,2225,7500,259,570,335,7,2707.56666666667,0,0,1994-09-01,NA,NA,0,0,0,0
"206","1994",10,1620,7570,299,890,1030,16,2381.70967741935,0,0,1994-10-01,NA,NA,0,0,0,0
"207","1994",11,2160,12000,335,695,200,7,3375.7,0,0,1994-11-01,NA,NA,2,0,0,0
"208","1995",3,8530,8720,68,20,30,13,9027.61290322581,0,0,1995-03-01,NA,NA,0,0,0,0
"209","1995",4,4645,6830,95,40,10,13,3496.53333333333,0,1,1995-04-01,NA,NA,0,0,0,0
"210","1995",5,4550,4700,134,20,25,17,4439.03225806452,0,1,1995-05-01,NA,NA,0,0,0,0
"211","1995",6,9365,19200,182,35,100,13,18133.7666666667,1,0,1995-06-01,NA,NA,8,7,0,0
"212","1995",7,20600,25300,193,350,400,14,11354.3548387097,1,0,1995-07-01,NA,NA,28,28,19,0
"213","1995",8,3480,14900,215,705,40,10,3143.16129032258,0,0,1995-08-01,NA,NA,3,0,0,0
"214","1995",9,2190,7200,257,230,510,10,2253.46666666667,0,0,1995-09-01,NA,NA,0,0,0,0
"215","1995",10,2350,5500,301,650,460,13,8193.29032258065,1,0,1995-10-01,NA,NA,9,0,0,0
"216","1995",11,4975,10400,333,2105,1020,13,7102.73333333333,0,0,1995-11-01,NA,NA,9,0,0,0
"217","1996",3,14200,18500,61,1520,1040,8,11310.2258064516,0,0,1996-03-01,NA,NA,17,12,0,0
"218","1996",4,8595,13800,95,390,50,14,8130.96666666667,0,0,1996-04-01,NA,NA,8,0,0,0
