"","year","month","median.monthly.flow","max.monthly.flow","date.of.monthly.max.flow","monthly.fall.rate","monthly.rise.rate","monthly.reversals","monthly.inflows","inflows.upperquartile","inflows.lowerquartile","date","minDO.oakcity","minDO.jamesville","days.over.10k","days.over.15k","days.over.20k","days.over.30k"
"219","1996",5,9660,12300,137,410,640,6,8707.87096774194,0,0,1996-05-01,NA,NA,15,0,0,0
"220","1996",6,9265,19400,166,135,65,10,7474.83333333333,1,0,1996-06-01,NA,NA,11,8,0,0
"221","1996",7,3660,11600,195,280,270,14,3680.03225806452,0,0,1996-07-01,NA,NA,2,0,0,0
"222","1996",8,8450,14600,234,850,600,13,8580.22580645161,1,0,1996-08-01,NA,NA,10,0,0,0
"223","1996",9,34700,36000,255,600,300,11,29503,1,0,1996-09-01,NA,NA,26,25,24,13
"224","1996",10,3220,13700,279,412.5,480,19,7078.38709677419,1,0,1996-10-01,NA,NA,21,16,0,0
"225","1996",11,8115,13400,309,90,140,19,7332.73333333333,1,0,1996-11-01,NA,NA,8,0,0,0
"226","1997",3,16300,21600,75,1400,800,18,15714.935483871,1,0,1997-03-01,NA,NA,28,22,11,0
"227","1997",4,7900,22300,121,100,625,9,12667.6333333333,0,0,1997-04-01,NA,NA,9,6,1,0
"228","1997",5,14500,22600,135,410,70,3,8746.77419354839,0,0,1997-05-01,NA,NA,20,15,14,0
"229","1997",6,7520,12200,171,30,60,17,6530.3,0,0,1997-06-01,NA,NA,9,0,0,0
"230","1997",7,4050,10200,191,1755,1845,17,3493.96774193548,0,0,1997-07-01,NA,NA,1,0,0,0
"231","1997",8,3110,7230,228,820,550,16,2694.90322580645,0,0,1997-08-01,NA,NA,0,0,0,0
"232","1997",9,2825,4130,256,190,160,9,2813.7,0,0,1997-09-01,NA,NA,0,0,0,0
"233","1997",10,18200,19800,280,600,150,13,2736.25806451613,0,0,1997-10-01,NA,NA,0,0,0,0
"234","1997",11,6860,13500,327,2130,3545,14,4036.76666666667,0,0,1997-11-01,NA,NA,0,0,0,0
"235","1998",3,24800,35400,87,350,300,8,22445.1290322581,1,0,1998-03-01,NA,NA,31,31,27,10
"236","1998",4,18900,24900,92,300,100,6,16548.8666666667,1,0,1998-04-01,NA,NA,30,30,9,0
"237","1998",5,19000,19100,137,100,100,11,12256.6451612903,1,0,1998-05-01,NA,NA,31,31,0,0
"238","1998",6,6410,18500,153,1000,1750,9,4679.83333333333,0,0,1998-06-01,NA,4.1,10,3,0,0
"239","1998",7,3790,7750,203,330,385,18,2779.38709677419,0,0,1998-07-01,NA,5.9,0,0,0,0
"240","1998",8,2870,8260,238,275,330,17,2768.61290322581,0,0,1998-08-01,NA,6.1,0,0,0,0
"241","1998",9,3135,6080,274,545,250,8,1685.4,0,1,1998-09-01,7,6,0,0,0,0
"242","1998",10,2310,6070,282,560,320,16,1755.22580645161,0,1,1998-10-01,8.1,6.6,0,0,0,0
"243","1998",11,5840,8320,320,160,815,14,2084.96666666667,0,1,1998-11-01,NA,NA,0,0,0,0
"244","1999",3,2020,12000,64,220,50,16,6485.41935483871,0,1,1999-03-01,NA,NA,1,0,0,0
"245","1999",4,6530,8690,101,80,30,10,6155.9,0,1,1999-04-01,NA,NA,0,0,0,0
"246","1999",5,5900,6600,132,45,80,13,4895.54838709677,0,0,1999-05-01,NA,NA,0,0,0,0
"247","1999",6,3395,5890,153,70,40,13,1757.73333333333,0,1,1999-06-01,NA,NA,0,0,0,0
"248","1999",7,2940,11300,191,500,1850,18,2281.12903225806,0,1,1999-07-01,NA,NA,2,0,0,0
"249","1999",8,3020,5700,214,260,20,11,1174.77419354839,0,1,1999-08-01,NA,5.6,0,0,0,0
"250","1999",9,8245,17900,260,135,280,9,10931.3333333333,1,0,1999-09-01,3.7,4.4,2,1,0,0
"251","1999",10,2570,5410,275,15,45,10,5968.51612903226,1,0,1999-10-01,NA,3.3,10,0,0,0
"252","1999",11,1825,4320,330,50,305,11,3258.8,0,0,1999-11-01,NA,NA,0,0,0,0
"253","2000",3,3470,9690,77,1030,1360,14,6971.83870967742,0,1,2000-03-01,NA,NA,0,0,0,0
"254","2000",4,8575,18600,119,30,100,12,10881.2333333333,0,0,2000-04-01,NA,NA,11,6,0,0
"255","2000",5,6080,18600,122,585,40,9,4847.96774193548,0,0,2000-05-01,NA,NA,5,2,0,0
"256","2000",6,8015,9430,172,90,115,16,6182.4,0,0,2000-06-01,6.2,5.4,0,0,0,0
"257","2000",7,3750,8610,208,1700,810,17,3085.54838709677,0,0,2000-07-01,5.7,4.8,0,0,0,0
"258","2000",8,3170,10300,244,770,220,17,2716.8064516129,0,0,2000-08-01,5.7,4.7,1,0,0,0
"259","2000",9,5745,12600,256,1740,1195,11,4352.8,1,0,2000-09-01,5.7,5.7,7,0,0,0
"260","2000",10,8550,13700,275,105,535,19,1860.64516129032,0,1,2000-10-01,7.5,7.2,0,0,0,0
"261","2000",11,2850,8260,308,895,760,15,2171.23333333333,0,1,2000-11-01,NA,NA,0,0,0,0
"262","2001",3,4060,12700,87,1465,2870,18,10827.064516129,0,0,2001-03-01,NA,NA,4,0,0,0
"263","2001",4,10290,18300,98,615,90,7,7192.3,0,0,2001-04-01,NA,NA,15,11,0,0
"264","2001",5,4860,7290,152,50,40,11,6347.06451612903,0,0,2001-05-01,NA,NA,0,0,0,0
"265","2001",6,7705,9900,158,575,320,12,4375.56666666667,0,0,2001-06-01,4.1,3.3,0,0,0,0
"266","2001",7,3630,10800,194,830,610,19,2053.77419354839,0,1,2001-07-01,5.4,4.6,5,0,0,0
"267","2001",8,3350,7090,220,470,750,19,2033.64516129032,0,0,2001-08-01,5.7,NA,0,0,0,0
"268","2001",9,3190,7560,255,1030,430,8,1123.26666666667,0,1,2001-09-01,6.3,NA,0,0,0,0
"269","2001",10,2840,4930,285,435,830,17,840.516129032258,0,1,2001-10-01,7,7.1,0,0,0,0
"270","2001",11,2650,6350,307,1050,515,15,1120.26666666667,0,1,2001-11-01,NA,NA,0,0,0,0
"271","2002",3,1900,2010,62,15,10,12,4505.87096774194,0,1,2002-03-01,NA,NA,0,0,0,0
"272","2002",4,1990,2030,119,10,10,9,2394.53333333333,0,1,2002-04-01,NA,NA,0,0,0,0
"273","2002",5,2600,2850,138,25,20,13,3809.96774193548,0,1,2002-05-01,NA,NA,0,0,0,0
"274","2002",6,2630,2720,179,10,10,8,788.666666666667,0,1,2002-06-01,4.9,6.9,0,0,0,0
"275","2002",7,3730,4160,207,130,230,11,685.387096774194,0,1,2002-07-01,6.3,5.5,0,0,0,0
"276","2002",8,2730,3170,224,55,130,17,595.870967741935,0,1,2002-08-01,5.6,5.3,0,0,0,0
"277","2002",9,2530,2590,260,10,10,7,1333.9,0,1,2002-09-01,6.2,5.8,0,0,0,0
"278","2002",10,2110,4450,277,540,510,18,5489.06451612903,0,0,2002-10-01,7.6,6.1,0,0,0,0
"279","2002",11,2010,2120,335,10,20,11,8916.8,1,0,2002-11-01,NA,NA,8,7,0,0
"280","2003",3,21300,28400,91,350,550,9,22968.7741935484,1,0,2003-03-01,NA,NA,31,28,24,0
"281","2003",4,33800,34500,116,400,200,10,22582.7,1,0,2003-04-01,NA,NA,30,30,30,18
"282","2003",5,20100,28000,122,1100,150,7,19796.6774193548,1,0,2003-05-01,NA,NA,31,20,16,0
"283","2003",6,24300,24600,173,100,100,11,21399.6333333333,1,0,2003-06-01,5.2,3.6,30,30,29,0
"284","2003",7,24300,24500,184,300,100,8,10459.2903225806,1,0,2003-07-01,5,3.5,31,30,25,0
"285","2003",8,14400,19700,225,200,400,6,12898.5161290323,1,0,2003-08-01,4.3,NA,31,13,0,0
"286","2003",9,9635,20200,272,140,410,5,14833.9,1,0,2003-09-01,5.4,0,10,7,5,0
"287","2003",10,2420,3190,293,20,100,9,4693.48387096774,0,0,2003-10-01,6.3,4.3,13,3,1,0
"288","2003",11,6265,19700,325,675,760,12,8170.8,1,0,2003-11-01,NA,NA,0,0,0,0
"289","2004",3,2980,8690,61,780,445,19,6316.83870967742,0,1,2004-03-01,NA,NA,0,0,0,0
"290","2004",4,8055,14900,107,100,95,12,9999.96666666667,0,0,2004-04-01,NA,NA,11,0,0,0
"291","2004",5,8000,8200,133,35,40,10,5522.90322580645,0,0,2004-05-01,6.2,5.5,0,0,0,0
"292","2004",6,8065,9410,180,285,80,13,6274.36666666667,0,0,2004-06-01,6.4,5.5,0,0,0,0
"293","2004",7,4740,6970,183,495,405,14,4286.45161290323,0,0,2004-07-01,5.5,4.8,0,0,0,0
"294","2004",8,8460,19700,230,360,1000,10,7537.09677419355,1,0,2004-08-01,5.3,5,15,2,0,0
"295","2004",9,11200,15500,254,545,1470,12,9479.76666666667,1,0,2004-09-01,5.3,4.4,14,2,0,0
"296","2004",10,9610,20100,275,800,540,14,8316.03225806452,1,0,2004-10-01,6.6,NA,28,0,0,0
"297","2004",11,8195,8390,318,110,130,18,10529.5666666667,1,0,2004-11-01,NA,NA,0,0,0,0
"298","2005",3,8170,19600,90,65,360,17,13638.8387096774,0,0,2005-03-01,NA,NA,7,6,0,0
"299","2005",4,8280,19000,92,130,50,8,8865.53333333333,0,0,2005-04-01,NA,NA,10,8,0,0
"300","2005",5,6740,7670,127,30,10,12,5810.16129032258,0,0,2005-05-01,NA,NA,0,0,0,0
"301","2005",6,6590,8900,168,20,30,13,3785.73333333333,0,0,2005-06-01,6.1,5.4,0,0,0,0
"302","2005",7,3510,8680,196,480,370,13,5071.38709677419,1,0,2005-07-01,6.1,4.9,0,0,0,0
"303","2005",8,3520,7620,228,260,410,17,3505.90322580645,0,0,2005-08-01,NA,4.8,0,0,0,0
"304","2005",9,2830,7220,270,470,595,13,1536.76666666667,0,1,2005-09-01,NA,5.6,0,0,0,0
"305","2005",10,11200,13100,299,740,400,15,4726.22580645161,0,0,2005-10-01,6.5,4.2,0,0,0,0
"306","2005",11,7995,9210,329,540,245,18,2946.73333333333,0,0,2005-11-01,NA,NA,0,0,0,0
"307","2006",3,2320,5170,62,10,10,9,3321.51612903226,0,1,2006-03-01,NA,NA,0,0,0,0
"308","2006",4,3255,4170,121,20,40,11,4176.93333333333,0,1,2006-04-01,NA,NA,0,0,0,0
"309","2006",5,4290,4390,126,25,20,10,3467.25806451613,0,1,2006-05-01,NA,NA,0,0,0,0
"310","2006",6,3050,8190,181,80,150,14,3907.06666666667,0,0,2006-06-01,5.1,4,0,0,0,0
"311","2006",7,7250,18100,194,1780,3500,12,5521.12903225806,1,0,2006-07-01,4.5,5.1,11,3,0,0
"312","2006",8,3180,8770,243,345,480,14,1664.8064516129,0,1,2006-08-01,NA,5.2,0,0,0,0
"313","2006",9,2795,8200,262,980,900,16,6143.1,1,0,2006-09-01,5.7,2.9,0,0,0,0
"314","2006",10,2610,4240,305,110,460,16,5664.51612903226,0,0,2006-10-01,6.7,NA,7,0,0,0
"315","2006",11,2875,4730,328,530,320,14,16335.7,1,0,2006-11-01,NA,NA,19,2,0,0
"316","2007",3,5520,20300,78,340,20,9,12649.6774193548,0,0,2007-03-01,NA,NA,6,3,2,0
"317","2007",4,11150,21700,114,600,200,7,9790.7,0,0,2007-04-01,NA,NA,25,10,7,0
"318","2007",5,5700,6320,122,20,15,8,3930.16129032258,0,1,2007-05-01,NA,NA,0,0,0,0
"319","2007",6,2840,8110,171,60,80,10,3112.73333333333,0,0,2007-06-01,NA,6.4,0,0,0,0
"320","2007",7,2900,5140,191,200,30,13,2119.12903225806,0,1,2007-07-01,5.2,6.2,0,0,0,0
"321","2007",8,2520,9070,222,615,555,14,1156.1935483871,0,1,2007-08-01,5.5,5.8,0,0,0,0
"322","2007",9,1990,3780,270,100,60,10,1431.66666666667,0,1,2007-09-01,6.4,6.2,0,0,0,0
"323","2007",10,7370,15000,289,1830,1850,15,3208.83870967742,0,0,2007-10-01,6.9,6.6,0,0,0,0
"324","2007",11,11650,15400,335,1015,1715,10,1775.43333333333,0,1,2007-11-01,NA,NA,0,0,0,0
"325","2008",3,2400,3840,91,30,40,12,5631.90322580645,0,1,2008-03-01,NA,NA,0,0,0,0
"326","2008",4,7830,12300,107,100,80,12,10337.8666666667,0,0,2008-04-01,NA,NA,11,0,0,0
"327","2008",5,10200,12500,141,200,100,8,8499.1935483871,0,0,2008-05-01,NA,NA,16,0,0,0
"328","2008",6,4015,6820,158,115,55,14,1243.16666666667,0,1,2008-06-01,NA,6.3,0,0,0,0
"329","2008",7,3060,10400,205,1755,1615,17,1872.87096774194,0,1,2008-07-01,5.9,6.2,2,0,0,0
"330","2008",8,2350,6140,227,795,645,8,2116.67741935484,0,0,2008-08-01,6,5.6,0,0,0,0
"331","2008",9,2365,11000,259,50,90,8,4882.63333333333,1,0,2008-09-01,6.3,6.1,1,0,0,0
"332","2008",10,1880,4210,298,240,350,18,1498.03225806452,0,1,2008-10-01,NA,6.7,0,0,0,0
"333","2008",11,2100,3300,331,150,160,14,2393.43333333333,0,1,2008-11-01,9.3,8.5,0,0,0,0
"334","2009",3,5320,19300,64,290,775,14,10982.6451612903,0,0,2009-03-01,NA,NA,13,3,0,0
"335","2009",4,8290,10800,119,50,55,12,7809.96666666667,0,0,2009-04-01,NA,NA,5,0,0,0
"336","2009",5,8140,10800,122,165,40,8,8222.74193548387,0,0,2009-05-01,NA,NA,2,0,0,0
"337","2009",6,15200,20800,161,200,250,10,11612.0333333333,1,0,2009-06-01,6.4,NA,21,17,11,0
"338","2009",7,3380,8300,211,760,925,14,2497.51612903226,0,0,2009-07-01,6.6,NA,0,0,0,0
"339","2009",8,3110,6550,241,70,420,18,2389.06451612903,0,0,2009-08-01,6.8,NA,0,0,0,0
"340","2009",9,3525,7360,272,390,600,15,1676.63333333333,0,1,2009-09-01,6.7,6.2,0,0,0,0
"341","2009",10,2020,4910,280,365,345,14,2014.90322580645,0,1,2009-10-01,NA,6.8,0,0,0,0
"342","2009",11,2270,4120,316,625,660,19,19110.6,1,0,2009-11-01,NA,NA,18,18,9,0
"343","2010",3,12400,20800,64,590,200,15,15485.3870967742,0,0,2010-03-01,NA,NA,27,13,12,0
"344","2010",4,14300,20800,100,185,100,12,7783.26666666667,0,0,2010-04-01,NA,NA,18,9,7,0
"345","2010",5,6390,7480,122,60,60,13,6136.03225806452,0,0,2010-05-01,NA,NA,0,0,0,0
"346","2010",6,6805,10300,169,90,95,13,3144.13333333333,0,0,2010-06-01,NA,5.8,1,0,0,0
"347","2010",7,2440,6860,211,885,980,13,1854.51612903226,0,1,2010-07-01,6.7,5.9,0,0,0,0
"348","2010",8,3360,4280,239,330,450,17,3093.09677419355,0,0,2010-08-01,6.8,6.5,0,0,0,0
"349","2010",9,3875,7720,271,390,1630,10,1885.7,0,0,2010-09-01,7.2,6.7,0,0,0,0
"350","2010",10,2050,3560,276,235,235,12,7366.93548387097,1,0,2010-10-01,NA,NA,1,0,0,0
"351","2010",11,18350,20800,329,740,825,12,2730.7,0,1,2010-11-01,NA,NA,0,0,0,0
"352","2011",3,8320,11500,80,50,175,15,10538.2580645161,0,0,2011-03-01,NA,NA,7,0,0,0
"353","2011",4,8375,13900,111,270,220,8,8657.46666666667,0,0,2011-04-01,NA,NA,9,0,0,0
"354","2011",5,6300,9770,132,70,30,9,5866.8064516129,0,0,2011-05-01,NA,NA,0,0,0,0
"355","2011",6,5075,7340,168,50,70,11,2049.96666666667,0,1,2011-06-01,6.7,5.8,0,0,0,0
"356","2011",7,2450,10000,194,160,700,13,1969.03225806452,0,1,2011-07-01,6.1,6,0,0,0,0
"357","2011",8,2340,8870,243,220,770,17,1152.64516129032,0,1,2011-08-01,6.4,5.6,0,0,0,0
"358","2011",9,3195,7120,258,1000,945,11,3269.83333333333,0,0,2011-09-01,3.9,0,0,0,0,0
"359","2011",10,3620,10700,275,320,1070,14,2156.54838709677,0,1,2011-10-01,7.4,4.4,0,0,0,0
"360","2011",11,5465,9500,308,700,665,18,5535.8,0,0,2011-11-01,NA,NA,0,0,0,0
"361","2012",3,3340,20600,91,40,80,9,9856.90322580645,0,0,2012-03-01,NA,NA,4,3,3,0
"362","2012",4,6855,20400,92,210,65,14,4883.73333333333,0,1,2012-04-01,NA,NA,5,3,2,0
"363","2012",5,5420,6410,138,85,100,12,5315.35483870968,0,0,2012-05-01,NA,NA,0,0,0,0
"364","2012",6,4200,5600,153,50,55,9,2392.16666666667,0,1,2012-06-01,6.4,5.5,0,0,0,0
"365","2012",7,3070,6310,191,670,405,16,1834.03225806452,0,1,2012-07-01,6,6.1,0,0,0,0
"366","2012",8,3550,10900,238,620,1000,20,1919.12903225806,0,1,2012-08-01,6.3,5.8,1,0,0,0
"367","2012",9,3500,6940,263,500,770,9,1986.86666666667,0,0,2012-09-01,6.4,5.6,0,0,0,0
"368","2012",10,2130,4970,285,380,535,17,1600.61290322581,0,1,2012-10-01,7.5,6.9,0,0,0,0
"369","2012",11,2250,9190,327,1030,550,14,1224.96666666667,0,1,2012-11-01,NA,NA,0,0,0,0
"370","2013",3,6640,8140,81,50,80,13,7637.06451612903,0,0,2013-03-01,NA,NA,0,0,0,0
"371","2013",4,9160,10400,110,100,100,12,7318.06666666667,0,0,2013-04-01,NA,NA,7,0,0,0
"372","2013",5,13700,15800,132,120,100,7,11138.3548387097,1,0,2013-05-01,NA,NA,22,2,0,0
"373","2013",6,9925,21000,165,390,1200,8,8040.66666666667,1,0,2013-06-01,6.1,3.8,14,7,5,0
"374","2013",7,15200,20600,192,210,300,11,12432.0967741935,1,0,2013-07-01,6.2,NA,23,16,13,0
"375","2013",8,4760,9110,222,1175,725,14,4371.83870967742,0,0,2013-08-01,6.1,3.9,0,0,0,0
"376","2013",9,2885,5440,263,500,580,10,1861.63333333333,0,0,2013-09-01,6.5,5.7,0,0,0,0
"377","2013",10,2060,6160,300,215,515,19,1958.22580645161,0,1,2013-10-01,7.4,NA,0,0,0,0
"378","2013",11,2315,2550,306,60,70,12,3078,0,0,2013-11-01,NA,NA,0,0,0,0
"379","2014",3,7380,21300,74,550,300,11,10109.8709677419,0,0,2014-03-01,NA,NA,13,4,2,0
"380","2014",4,10750,21400,107,400,230,8,11879.2,0,0,2014-04-01,NA,NA,20,10,9,0
"381","2014",5,15100,21700,123,700,450,7,11658,1,0,2014-05-01,NA,NA,22,16,2,0
"382","2014",6,4525,9870,153,330,165,13,3000.1,0,0,2014-06-01,6.9,5.2,0,0,0,0
"383","2014",7,3640,5740,183,800,630,14,2497.83870967742,0,0,2014-07-01,7.1,5.3,0,0,0,0
"384","2014",8,3730,8070,235,820,495,14,4491.74193548387,0,0,2014-08-01,6,4.5,0,0,0,0
"385","2014",9,3420,14300,253,1110,1700,8,3117.43333333333,0,0,2014-09-01,6,6,1,0,0,0
"386","2014",10,2130,5550,281,70,170,17,3552.87096774194,0,0,2014-10-01,7.6,5.4,1,0,0,0
"387","2014",11,2745,8300,335,110,85,15,3539.36666666667,0,0,2014-11-01,NA,NA,0,0,0,0
"388","2015",3,6920,15300,71,300,280,11,10119.5483870968,0,0,2015-03-01,NA,NA,8,3,0,0
"389","2015",4,10550,21700,115,200,250,11,8663.26666666667,0,0,2015-04-01,NA,NA,16,5,1,0
"390","2015",5,3870,12800,122,200,35,4,3690.32258064516,0,1,2015-05-01,NA,NA,3,0,0,0
"391","2015",6,3720,8020,178,155,200,14,4180.76666666667,0,0,2015-06-01,7,5.8,0,0,0,0
"392","2015",7,3640,10300,190,610,520,16,2977.61290322581,0,0,2015-07-01,7,5.3,2,0,0,0
"393","2015",8,2770,7970,239,80,675,15,1761.58064516129,0,1,2015-08-01,7.2,6.3,0,0,0,0
"394","2015",9,4280,8230,274,155,1235,8,2681.83333333333,0,0,2015-09-01,7,6.4,0,0,0,0
"395","2015",10,2420,10700,290,190,325,13,12610.6774193548,1,0,2015-10-01,7.3,4.1,14,13,11,0
"396","2015",11,2180,9770,331,90,100,17,12064.1666666667,1,0,2015-11-01,NA,NA,24,19,5,0
"397","2016",3,12100,20800,65,300,200,15,9450.93548387097,0,0,2016-03-01,NA,NA,28,14,4,0
"398","2016",4,8010,9740,92,150,70,11,6521.46666666667,0,0,2016-04-01,NA,NA,0,0,0,0
"399","2016",5,21200,21800,141,250,555,10,15832.3225806452,1,0,2016-05-01,NA,NA,25,22,19,0
"400","2016",6,9660,11900,182,415,200,11,7096,1,0,2016-06-01,6.5,4.3,13,0,0,0
"401","2016",7,5470,19700,197,1120,1235,17,4974.67741935484,1,0,2016-07-01,6.6,4.7,7,1,0,0
"402","2016",8,4860,13500,223,1250,1720,14,4308.38709677419,0,0,2016-08-01,6.1,5.1,2,0,0,0
"403","2016",9,4135,5050,267,400,865,10,2855.86666666667,0,0,2016-09-01,5.9,5.1,0,0,0,0
"404","2016",10,8460,21300,278,570,280,14,10890.3225806452,1,0,2016-10-01,5.6,4.2,15,13,10,0
"405","2016",11,19400,20600,319,400,1100,12,2322.13333333333,0,1,2016-11-01,NA,NA,0,0,0,0
"406","2017",3,2900,3600,91,80,80,13,3912.41935483871,0,1,2017-03-01,NA,NA,0,0,0,0
"407","2017",4,6950,33700,120,60,250,10,19166.7666666667,1,0,2017-04-01,NA,NA,6,5,4,3
"408","2017",5,26900,34300,126,350,550,6,17379.6774193548,1,0,2017-05-01,NA,NA,31,20,19,10
"409","2017",6,13400,27800,155,1145,300,11,7282.36666666667,1,0,2017-06-01,6.2,4.1,19,9,5,0
"410","2017",7,3580,7850,195,310,1240,17,2896.51612903226,0,0,2017-07-01,5.8,3.8,0,0,0,0
"411","2017",8,4150,4840,243,140,370,17,2219.35483870968,0,0,2017-08-01,6.5,5.1,0,0,0,0
"412","2017",9,3625,5290,265,870,590,9,1804.16666666667,0,1,2017-09-01,7.1,5.7,0,0,0,0
"413","2017",10,9690,25000,295,2120,895,15,1664.51612903226,0,1,2017-10-01,7.5,6.9,0,0,0,0
"414","2017",11,3430,9340,314,490,215,14,1949.06666666667,0,1,2017-11-01,NA,NA,0,0,0,0
"415","2018",3,4480,15400,65,80,100,13,6839.61290322581,0,1,2018-03-01,NA,NA,1,1,0,0
"416","2018",4,9925,20700,121,100,165,8,11558.8333333333,0,0,2018-04-01,NA,NA,14,3,2,0
"417","2018",5,18000,28900,147,740,1030,9,15212.9032258065,1,0,2018-05-01,NA,NA,21,20,13,0
"418","2018",6,5060,16200,153,640,1860,12,4209.5,0,0,2018-06-01,5.4,3.3,5,1,0,0
"419","2018",7,3000,12400,184,885,1510,14,2970.16129032258,0,0,2018-07-01,5.6,5.2,2,0,0,0
"420","2018",8,8640,17800,219,1380,1590,11,6650.45161290323,1,0,2018-08-01,5.6,3.6,12,6,0,0
"421","2018",9,17500,28800,273,445,3130,9,19745.7666666667,1,0,2018-09-01,6.4,2.1,14,13,9,0
"422","2018",10,2720,4700,305,120,270,10,20355.1612903226,1,0,2018-10-01,4.8,3.6,31,28,24,13
"423","2018",11,2325,3840,332,30,40,19,23757.4666666667,1,0,2018-11-01,NA,NA,30,28,17,11
"424","2019",3,19800,35200,66,2000,100,10,14770.6451612903,0,0,2019-03-01,NA,NA,25,20,15,12
"425","2019",4,13800,18400,92,1700,750,9,12735.2666666667,0,0,2019-04-01,NA,NA,27,13,0,0
"426","2019",5,8760,13500,124,805,90,10,6532.32258064516,0,0,2019-05-01,NA,NA,5,0,0,0
"427","2019",6,10760,21500,169,400,500,6,11985.7333333333,1,0,2019-06-01,6.6,NA,15,12,10,0
"428","2019",7,5130,8940,213,260,430,14,4131.8064516129,0,0,2019-07-01,5.9,4.3,0,0,0,0
"429","2019",8,2930,8680,214,1040,590,15,2853.12903225806,0,0,2019-08-01,NA,5.5,0,0,0,0
"430","2019",9,2325,5600,260,1050,290,13,1401.4,0,1,2019-09-01,6.7,2,0,0,0,0
"431","2019",10,29000,34800,298,2200,500,9,3011.96774193548,0,0,2019-10-01,7.2,6,0,0,0,0
"432","2019",11,24400,35400,334,400,300,8,4906.1,0,0,2019-11-01,NA,NA,3,0,0,0
"433","2020",3,5230,9600,63,180,95,12,7203.87096774194,0,1,2020-03-01,NA,NA,0,0,0,0
"434","2020",4,11350,15800,107,185,100,9,10818.2,0,0,2020-04-01,NA,NA,17,4,0,0
"435","2020",5,12700,35100,150,270,600,7,25247.7096774194,1,0,2020-05-01,NA,NA,20,14,12,3
"436","2020",6,NA,NA,NA,NA,NA,NA,17364.8,1,0,2020-06-01,NA,NA,8,8,8,8
"437","2020",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01,NA,NA,NA,NA,NA,NA
"438","2020",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-08-01,NA,NA,NA,NA,NA,NA
"439","2020",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-09-01,NA,NA,NA,NA,NA,NA
"440","2020",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-01,NA,NA,NA,NA,NA,NA
"441","2020",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-01,NA,NA,NA,NA,NA,NA
